"Algorithm","Hash","Path"
"SHA256","B1D2E4F3A5C67890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0","C:\LAB3\Evidence\start_time.txt"
"SHA256","C3A4E5F6B7C890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF012","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","D5E6F7A8B9C0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF01234","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","E7F8A9B0C1D23456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","F9A0B1C2D3E456789ABCDEF0123456789ABCDEF0123456789ABCDEF012345678","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","A1B2C3D4E5F67890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF01","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","B2C3D4E5F6A7890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF012","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","C3D4E5F6A7B890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","D4E5F6A7B8C90123456789ABCDEF0123456789ABCDEF0123456789ABCDEF01234","C:\LAB3\Evidence\task_ran.txt"
"SHA256","E5F6A7B8C9D0123456789ABCDEF0123456789ABCDEF0123456789ABCDEF012345","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","F6A7B8C9D0E123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","A7B8C9D0E1F23456789ABCDEF0123456789ABCDEF0123456789ABCDEF01234567","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","B8C9D0E1F2A3456789ABCDEF0123456789ABCDEF0123456789ABCDEF012345678","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","C9D0E1F2A3B456789ABCDEF0123456789ABCDEF0123456789ABCDEF0123456789","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","D0E1F2A3B4C567890123456789ABCDEF0123456789ABCDEF0123456789ABCDEF0","C:\LAB3\Evidence\autoruns_diff.txt"
